AUTHOR,YEAR,TOPIC,METHODOLOGY,DATASET,APA FORMAT,Researched by:
"Truong, T., Arzt, A., & Widmer, G.",2021,Deep Learning Approaches in Topics of Singing Information Processing,"- Survey-based analysis of deep learning models applied to singing information processing.
- Identified five core SIP tasks:
Singing Voice Separation
Singing Voice Detection
Singing Voice Pitch Extraction
Singing Synthesis
Singing Voice Conversion
- Analyzed model architectures used in these tasks:
- Convolutional Neural Networks (CNNs) for spectral feature learning.
- Recurrent Neural Networks (RNNs/LSTMs) for temporal sequence modeling.
- Generative Adversarial Networks (GANs) and Autoencoders for synthesis and timbre modeling.
- Transformer architectures for attention-based vocal processing.
- Highlighted advancements in end-to-end systems reducing reliance on hand-crafted features.
- Evaluated challenges such as data scarcity, generalization across singers, and interpretability.","- The study references multiple datasets related to singing voice tasks rather than one specific dataset.
- Datasets include:
- MIR-1K: 1,000 song clips for singing voice separation.
- NUS-48E: 48 English songs by 12 singers for pitch extraction and synthesis.
- JAMENDO and DSD100: Used for source separation and vocal detection tasks.
- These datasets cover monophonic and polyphonic recordings to evaluate deep learning systems for singing information processing (SIP).","Truong, T., Arzt, A., & Widmer, G. (2021). Deep learning approaches in topics of singing information processing. Frontiers in Digital Humanities, 8, 1–18. https://doi.org/10.3389/fdigh.2021.671430",Marian
"Li, W., Cui, X., Manoharan, P., Dai, L., Liu, K., & Huang, L.",2025,AI-Assisted Feedback and Reflection in Vocal Music Training: Effects on Metacognition and Singing Performance,The study employed an experimental design with a control group (conventional instruction) and an experimental group (AI-assisted intervention) over a six-week training period. The experimental intervention included self-assessment via audio comparison tools and dialogic feedback through interaction with a Large Language Model (AI chatbot) tailored for vocal pedagogy. The researchers measured outcomes using pre- and post-tests for singing performance and metacognitive scales.,The dataset consisted of 80 pre-service teachers (university students). Baseline measurements included the Stanford-Binet Intelligence Scales and the Seashore Measures of Musical Talents to ensure comparable groups.,"Li, W., Cui, X., Manoharan, P., Dai, L., Liu, K., & Huang, L. (2025). AI-assisted feedback and reflection in vocal music training: Effects on metacognition and singing performance. Frontiers in Psychology, 16, 1598867. https://doi.org/10.3389/fpsyg.2025.1598867 ",Dana
"Chandna, P., Cuesta, H., & Gómez, E.",2020,A Deep Learning Based Analysis-Synthesis Framework for Unison Singing,"The authors developed a deep learning framework to analyze the Fundamental Frequency (F0) distribution of individual singers within a unison mixture. They proposed a system that synthesizes a choral unison signal by taking an a cappella input (a single voice prototype) and generating the necessary pitch and timing deviations found in real choirs. Subjective listening tests were used to evaluate the perceptual quality and ""choir-like"" nature of the synthesis.",The study utilized multitrack choral recordings where individual singers were recorded separately to allow for precise analysis of F0 distributions in unison sections. This likely includes data from the Choral Singing Dataset (CSD) and other private multitrack collections.,"Chandna, P., Cuesta, H., & Gómez, E. (2020). A deep learning based analysis-synthesis framework for unison singing. Proceedings of the 21st International Society for Music Information Retrieval Conference (ISMIR) (pp. 598–604). Montreal, Canada. https://archives.ismir.net/ismir2020/paper/000259.pdf ",Dana
"Jeon, C.-B., Moon, H., Choi, K., Chon, B. S., & Lee, K.",2023,MedleyVox: An Evaluation Dataset for Multiple Singing Voices Separation,"The authors define the problem by categorizing multi-singing tasks and propose a construction strategy to create training mixtures from single-singing datasets. They introduce the Improved Super-Resolution Network (iSRNet), which is jointly trained with Conv-TasNet to enhance separation performance.",MedleyVox (a curated evaluation dataset for multiple singing voices) and a constructed training set using various single-voice corpora.,"Jeon, C.-B., Moon, H., Choi, K., Chon, B. S., & Lee, K. (2023). MedleyVox: An evaluation dataset for multiple singing voices separation. 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), 1–5. https://doi.org/10.1109/ICASSP49357.2023.10095425 ",Dana
"Mróz, B., Odya, P., & Kostek, B.",2022,Creating a Remote Choir Performance Recording Based on an Ambisonic Approach,The researchers utilized Ambisonic microphone techniques (specifically a first-order Ambisonic microphone) to record individual singers and then processed the audio to simulate a choir performance. They also employed eye-tracking technology to analyze the visual engagement of the conductor/listener with the virtual choir interface.,The study involved the creation of a custom remote music recording of a choir performance specifically for the experiment.,"Mróz, B., Odya, P., & Kostek, B. (2022). Creating a remote choir performance recording based on an ambisonic approach. Applied Sciences, 12(7), 3316. https://doi.org/10.3390/app12073316 ",Dana
"Sarkar, S., Thorpe, L., Benetos, E., & Sandler, M. B.",2023,Leveraging Synthetic Data for Improving Chamber Ensemble Separation,The authors propose a pre-training strategy and data augmentation pipeline using synthetic data to improve the performance of separation models on real-world recordings. They demonstrate that pre-training with synthetic ensembles significantly boosts the separation quality of vocal harmony mixtures.,"EnsembleSet (synthetic chamber ensemble dataset), URMP (real-world chamber music), Bach Chorales, and Barbershop Quartet datasets.","Sarkar, S., Thorpe, L., Benetos, E., & Sandler, M. B. (2023). Leveraging synthetic data for improving chamber ensemble separation. 2023 IEEE Workshop on Applications of Signal Processing to Audio and Acoustics (WASPAA), 1–5. https://doi.org/10.1109/WASPAA58344.2023.10248118 ",Dana
"Lanzendörfer, L. A., Pinkl, C., Grötschla, F., & Wattenhofer, R.",2025,SepACap: Source Separation for A Cappella Music,"The authors introduced SepACap, an adaptation of the SepReformer architecture (a state-of-the-art speaker separation model). They enhanced the model with periodic activations (Snake functions) and a composite loss function designed to handle ""silent stems""—ensuring the model doesn't hallucinate audio when a voice part is resting. They also used a power-set data augmentation strategy to train the model on varying ensemble sizes.","JaCappella (a dataset of a cappella vocal ensembles) was used for training and evaluation, demonstrating state-of-the-art performance in separating varying numbers of singers.","Lanzendörfer, L. A., Pinkl, C., Grötschla, F., & Wattenhofer, R. (2025). SepACap: Source separation for a cappella music. arXiv preprint arXiv:2509.26580. https://doi.org/10.48550/arXiv.2509.26580 ",Dana
"Boratto, T., Costa, G. d. O., Meireles, A., Alves, A. K. S. T. R., Saporetti, C. M., Bodini, M., Cury, A., & Goliatt, L.",2025,Machine Learning with Evolutionary Parameter Tuning for Singing Registers Classification,"The study proposed a hybrid approach combining standard Machine Learning models (Support Vector Machines, Multi-Layer Perceptrons, and Extreme Gradient Boosting (XGB)) with a Differential Evolution (DE) algorithm. The DE algorithm automatically ""evolves"" and tunes the hyperparameters of the classifiers to maximize accuracy in identifying the physiological register of the singer from the audio signal.","A custom dataset of 350 audio files encompassing chest, mixed, and head registers was constructed and processed using the TSFEL (Time Series Feature Extraction Library) to generate inputs for the models.","Boratto, T., Costa, G. d. O., Meireles, A., Alves, A. K. S. T. R., Saporetti, C. M., Bodini, M., Cury, A., & Goliatt, L. (2025). Machine learning with evolutionary parameter tuning for singing registers classification. Signals, 6(1), 9. https://doi.org/10.3390/signals6010009 ",Dana
"Weiss, C., Schreiber, H., & Müller, M.",2022,Comparing Deep Models and Evaluation Strategies for Multi-Pitch Estimation in Music Recordings,"The authors conducted a rigorous comparative analysis of state-of-the-art deep learning architectures (including DeepSalience and U-Net variants) specifically applied to choral music. They investigated different output representations and training strategies to optimize the detection of individual voices within a choir section (e.g., distinguishing multiple tenors).",The study utilized the Carus Audio Corpus (a large dataset of multitrack choral and sacred music) and the Schubert Winterreise dataset for evaluation.,"Weiss, C., Schreiber, H., & Müller, M. (2022). Comparing deep models and evaluation strategies for multi-pitch estimation in music recordings. Transactions of the International Society for Music Information Retrieval (TISMIR), 5(1), 1–16. https://ieeexplore-ieee-org.dlsu.idm.oclc.org/document/9865174 ",Dana
"Cuesta, H., & Gómez, E.",2022,Voice Assignment in Vocal Quartets Using Deep Learning Models Based on Pitch Salience,"The authors proposed a deep learning framework that takes a pitch salience representation (a time-frequency representation that emphasizes pitch content) as input. They trained Convolutional Neural Networks (CNNs) to learn the specific tessituras and spectral characteristics of each voice part, allowing the model to assign detected pitches to the correct singer (SATB) even when their ranges overlap.","The models were trained and evaluated using a combination of Bach Chorales (Western classical tradition) and Barbershop Quartets (a genre characterized by close harmony and specific tuning), testing the model's ability to generalize across different polyphonic vocal styles.","Cuesta, H., & Gómez, E. (2022). Voice assignment in vocal quartets using deep learning models based on pitch salience. Transactions of the International Society for Music Information Retrieval, 5(1), 99–112. https://go-gale-com.dlsu.idm.oclc.org/ps/i.do?p=AONE&u=dlsu&id=GALE%7CA705711774&v=2.1&it=r ",Dana
"Yeh, Y.-C., Hsiao, W.-Y., Fukayama, S., Kitahara, T., Genchel, B., Liu, H.-M., Dong, H.-W., Chen, Y., Leong, T., & Yang, Y.-H.",2021,Automatic Melody Harmonization with Triad Chords: A Comparative Study,"The authors implemented and evaluated five distinct ""canonical"" models to harmonize melodies:

Template Matching (based on pitch class profiles)

Hidden Markov Model (HMM)

Genetic Algorithm (GA)

Deep Learning Models (specifically Bi-directional LSTM networks, including a proposed ""MTHarmonizer"" that predicts chords for half-bars). They compared these methods using both objective metrics (chord diversity, tonal distance) and subjective listening tests.","A newly collected dataset of 9,226 melody/chord pairs (Lead sheets) was created specifically for this study to ensure a standardized training and testing ground for the different algorithms.","Yeh, Y.-C., Hsiao, W.-Y., Fukayama, S., Kitahara, T., Genchel, B., Liu, H.-M., Dong, H.-W., Chen, Y., Leong, T., & Yang, Y.-H. (2021). Automatic melody harmonization with triad chords: A comparative study. Journal of New Music Research, 50(1), 37–51. https://www.tandfonline.com/doi/full/10.1080/09298215.2021.1873392 ",Dana
"Cuesta, H., Kroher, N., Pikrakis, A., & Djordjevic, S.",2023,DAACI-VoDAn: Improving Vocal Detection with New Data and Methods,"The authors proposed a data-driven framework called DAACI-VoDAn. They improved standard Deep Learning vocal detection models by introducing new data augmentation strategies that mimic the sparse and overlapping nature of choral textures. They evaluated the system's ability to reduce ""false positives"" (detecting a voice when it is actually resting) in dense mixtures.",The study utilized a new proprietary dataset (DAACI-VoDAn dataset) alongside public corpora to benchmark the improvement in detection accuracy against standard baselines.,"Cuesta, H., Kroher, N., Pikrakis, A., & Djordjevic, S. (2023). DAACI-VoDAn: Improving vocal detection with new data and methods. Proceedings of the 31st European Signal Processing Conference (EUSIPCO), 66–70. https://ieeexplore-ieee-org.dlsu.idm.oclc.org/document/10289758 ",Dana
"Rosenzweig, S., Cuesta, H., & Müller, M.",2022,Adaptive Pitch-Shifting with Applications to Intonation Adjustment in a Cappella Recordings,"The researchers developed an adaptive pitch-shifting algorithm based on non-linear time-scale modification (TSM) and resampling. Unlike standard ""Auto-Tune"" which snaps pitch to a rigid grid, this algorithm calculates a time-varying resampling curve that respects the continuous nature of the singing voice, allowing for subtle intonation corrections that maintain the ""choir effect.""",The method was evaluated using multitrack a cappella recordings (including segments from the Carus Audio Corpus) to verify that individual stems could be tuned effectively without bleeding artifacts.,"Rosenzweig, S., Cuesta, H., & Müller, M. (2022). Adaptive pitch-shifting with applications to intonation adjustment in a cappella recordings. Proceedings of the 25th International Conference on Digital Audio Effects (DAFx), 1–8. https://ieeexplore-ieee-org.dlsu.idm.oclc.org/document/9768268 ",Dana
"Hyodo, H., Takamichi, S., Nakamura, T., Koguchi, J., & Saruwatari, H.",2022,DNN-Based Ensemble Singing Voice Synthesis with Interactions Between Singers,"The authors developed a novel interaction-aware DNN framework.

Network Architecture: A multi-track structure where each voice part's generation is conditioned not just on its own score, but also on the scores and acoustic features of other voice parts.

Loss Functions: They introduced specific ""interaction losses""—an F0 difference loss (to encourage pitch coherence between singers) and a Power difference loss (to balance volume levels), forcing the model to learn how singers adjust to one another.

Synchrony-Aware Padding: A data preprocessing technique ensuring that notes with simultaneous onsets across different parts are processed together, preserving musical timing integrity.","The model was trained and evaluated using a dataset of quartet singing (likely a custom or proprietary dataset given the authors, but potentially based on the CSD or similar multitrack resources converted for SVS tasks), specifically focusing on scenarios with one singer per voice part (SATB-style).","Hyodo, H., Takamichi, S., Nakamura, T., Koguchi, J., & Saruwatari, H. (2024). DNN-based ensemble singing voice synthesis with interactions between singers. Proceedings of the 2024 IEEE Spoken Language Technology Workshop (SLT), 660–667. https://ieeexplore-ieee-org.dlsu.idm.oclc.org/document/10832340 ",Dana
"Weiss, C., & Müller, M.",2024,Style Evolution in Western Choral Music: A Corpus-Based Strategy,"The authors developed a method to generate ""evolution curves"" for choral music features. They utilized a deep learning-based pitch-class estimation model (trained on aligned score-audio pairs) to robustly analyze the dense polyphony of choir recordings (from the Carus Audio Corpus). This approach allows for the automated analysis of harmony and tonality in actual choral performances, handling the acoustic complexity of choir reverberation and blend.","Carus Audio Corpus (over 5,700 tracks of Western choral and sacred music).","Weiss, C., & Müller, M. (2024). Style evolution in Western choral music: A corpus-based strategy. Computational Humanities Research. Advance online publication. https://www.cambridge.org/core/services/aop-cambridge-core/content/view/18A4D5A8C065709EE3A84E75A5BA6D19/S297781582510016Xa.pdf/style-evolution-in-western-choral-music-a-corpus-based-strategy.pdf ",Dana
"Kim, M., Choi, J., Kim, H., & Lee, K.",2023,MuSE-SVS: Multi-Singer Emotional Singing Voice Synthesizer that Controls Emotional Intensity,"The researchers developed a multi-speaker Text-to-Speech (TTS) architecture adapted for singing. They introduced a statistical pitch predictor and a context-aware residual duration predictor to manage the subtle pitch and timing variations that occur when different singers perform together with varying emotional intensity. This allows for the creation of synthetic ensembles where each ""singer"" has a distinct but controllable character.","Trained on a multi-singer dataset (likely including emotionally annotated singing samples) to learn the mapping between singer identity, emotion, and acoustic output.","Kim, M., Choi, J., Kim, H., & Lee, K. (2023). MuSE-SVS: Multi-singer emotional singing voice synthesizer that controls emotional intensity. IEEE/ACM Transactions on Audio, Speech, and Language Processing, 31, 1–15. https://ieeexplore-ieee-org.dlsu.idm.oclc.org/document/10179970 ",Dana
"Kadiri, S. R., Alku, P., & Yegnanarayana, B. ",2020,Analysis and classification of phonation types in speech and singing voice,"- Acoustic analysis of phonation types (breathy, modal, pressed) in speech and singing
- Feature extraction without source–filter decomposition
- Signal processing methods: Zero Frequency Filtering (ZFF), Zero Time Windowing (ZTW), and Single Frequency Filtering (SFF)
- Extraction of scalar excitation features and cepstral coefficients (ZTWCCs, SFFCCs)
- Statistical analysis using one-way ANOVA and Tukey’s HSD
- Classification using Support Vector Machines (SVM) with 10-fold cross-validation","Speech dataset: 792 Finnish vowel samples from 11 speakers (breathy, modal, pressed phonation)

Singing dataset: 763 sustained vowels sung by a professional soprano (breathy, modal, pressed)

Both datasets downsampled to 8 kHz for analysis","Kadiri, S. R., Alku, P., & Yegnanarayana, B. (2020). Analysis and classification of phonation types in speech and singing voice. Speech Communication, 118, 33–47. https://doi.org/10.1016/j.specom.2020.02.004",Marian
"Faghih, B., Shoari Nejad, A., & Timoney, J.",2024,Modelling note’s pitch and duration in trained professional singers,"- Statistical modeling of singing performance deviations at the note level
- Bayesian Hierarchical Linear Regression (BHLR) to model pitch (F0) and duration deviations from score-based ground truth
- Analysis of eight explanatory variables, including pitch interval context, rests, note repetition (pitch drift), score-based duration, MIDI pitch code, and singing technique
- Separation of population-level and singer-specific effects through hierarchical modeling
- Model validation using posterior predictive checks and uncertainty calibration
- Derivation of empirical prediction ranges to estimate acceptable pitch and duration variability","- Annotated-VocalSet (derived from VocalSet)
- 2,688 solo singing recordings
- 20 trained professional singers (11 male, 9 female; multiple voice types)
- Approximately 7 hours of annotated singing data
- Includes scales, arpeggios, long tones, and musical excerpts
- Annotated with note onsets/offsets, MIDI pitch codes, singing techniques, and score-aligned metadata","Faghih, B., Shoari Nejad, A., & Timoney, J. (2024). Modelling note’s pitch and duration in trained professional singers. EURASIP Journal on Audio, Speech, and Music Processing, 2024(60). https://doi.org/10.1186/s13636-024-00380-4",Marian
"Zhang, X., Yu, Y., Gao, Y., Chen, X., & Li, W.",2020,Research on Singing Voice Detection Based on a Long-Term Recurrent Convolutional Network with Vocal Separation and Temporal Smoothing,"The researchers proposed a complete singing voice detection system that combines deep learning with signal-processing-based preprocessing and postprocessing. First, a U-Net–based singing voice separation model is applied to reduce accompaniment interference and isolate vocal signals. From the separated audio, multiple acoustic features (MFCC, PLP, LPCC, and spectral statistics) are extracted and fused. A Long-Term Recurrent Convolutional Network (LRCN), combining convolutional layers for feature fusion and LSTM layers for temporal context modeling, is then trained to classify vocal and non-vocal segments. Finally, temporal smoothing techniques (median filtering, HMM, and CRF) are applied to stabilize frame-level predictions and improve segment consistency.","- Jamendo Corpus (93 songs with vocal/non-vocal annotations)
- RWC Popular Music Dataset (100 annotated songs)
- MIR-1K (1000 vocal–accompaniment clips)
- iKala (252 professional singing excerpts)
- MedleyDB (61 multitrack recordings with derived vocal labels)","Zhang, X., Yu, Y., Gao, Y., Chen, X., & Li, W. (2020). Research on singing voice detection based on a long-term recurrent convolutional network with vocal separation and temporal smoothing. Electronics, 9(9), 1458. https://doi.org/10.3390/electronics9091458",Marian
"Li, X., & He, C.",2024,Incorporating Cumulative Mean Normalized Difference Function towards Intepretable Monophonic Singing Voice Pitch Extraction,"The researchers proposed a hybrid pitch extraction model, called YinNet, that integrates traditional digital signal processing (DSP) knowledge with deep learning for improved interpretability and robustness. The model embeds the cumulative mean normalized difference function (CMNDF) from the classical YIN algorithm into a neural network module to generate structured pitch candidates from raw audio waveforms. A Transformer-based multi-head self-attention (MHSA) decoder is then used to model inter-frame temporal dependencies and select the most reliable pitch trajectory. By combining DSP priors with neural representation learning, the system achieves accurate pitch estimation with fewer parameters while maintaining robustness to noise and improved generalization across datasets.","MIR-1K: 1,000 monophonic singing clips recorded from Chinese karaoke, with separated vocal tracks

iKala: 252 professionally recorded English singing excerpts

Both datasets evaluated using the isolated singing voice channel

Additional experiments conducted under varying noise conditions and cross-dataset testing","Li, X., & He, C. (2024). Incorporating cumulative mean normalized difference function towards interpretable monophonic singing voice pitch extraction. In Proceedings of the 9th International Conference on Intelligent Computing and Signal Processing (ICSP) (pp. 709–713). IEEE. https://doi.org/10.1109/ICSP62122.2024.10743813",Marian
"Saxena, K. R., & Arora, V.",2024,Interactive Singing Melody Extraction Based on Active Adaptation,"An interactive melody extraction framework using a CNN-based pitch classifier combined with confidence modeling to identify low-confidence frames for annotation. The system applies active learning to select informative samples and adapts to new musical domains using model-agnostic meta-learning, explicitly handling class imbalance to enable robust melody extraction with minimal annotated data.","MIR-1K (source domain)

ADC2004 and MIREX05 (polyphonic melody benchmarks)

HAR dataset: 523 Hindustani classical singing recordings (≈6.8 hours), publicly released","Saxena, K. R., & Arora, V. (2024). Interactive singing melody extraction based on active adaptation. IEEE/ACM Transactions on Audio, Speech, and Language Processing, 32, 2729–2742. https://doi.org/10.1109/TASLP.2024.3399614",Marian
"Zhao, Z., Luo, M., Qiao, X., Shao, C., & Sun, R.",2025,Attention-Driven Time-Domain Convolutional Network for Source Separation of Vocal and Accompaniment,"The researchers proposed an end-to-end time-domain source separation model that operates directly on raw audio waveforms. The system is built on a temporal convolutional network (TCN) backbone and integrates two attention mechanisms: an Embedding Attention Module (EAM) to adaptively weight source embeddings during feature fusion, and an Efficient Convolutional Block Attention Module (E-CBAM) to enhance temporal and channel-wise feature representation. By combining attention-driven feature refinement with time-domain convolution, the model preserves phase information and improves separation quality. The network is trained using scale-invariant signal-to-noise ratio (SI-SNR) as the optimization objective and evaluated against state-of-the-art separation models.","MUSDB18: Standard music source separation benchmark with professionally mixed tracks

iKala: Singing voice separation dataset with isolated vocal and accompaniment tracks

Audio sampled at 44.1 kHz and evaluated under single-channel mixture conditions","Zhao, Z., Luo, M., Qiao, X., Shao, C., & Sun, R. (2025). Attention-driven time-domain convolutional network for source separation of vocal and accompaniment. Electronics, 14(20), 3982. https://doi.org/10.3390/electronics14203982",Marian
"Parekh, S., Essid, S., & Richard, G.",2021,Audiovisual singing voice separation,"The researchers proposed a multimodal singing voice separation system that jointly exploits audio and visual information from performance videos. The model uses convolutional neural networks to extract features from audio spectrograms and synchronized video frames capturing mouth and facial movements. These modality-specific representations are fused within a deep neural architecture to guide vocal–accompaniment separation, allowing the system to better distinguish the target singing voice from instruments and backing vocals. The approach explicitly leverages visual cues related to vocal activity to improve separation robustness in challenging polyphonic and visually diverse performance conditions. Objective separation metrics and subjective listening tests are used to validate the effectiveness of audiovisual fusion over audio-only baselines.","URSing dataset (introduced in this study)
- Audiovisual recordings of solo singing performances
- Includes professional and semi-professional singers
- Contains challenging scenarios with backing vocals and accompaniment

Additional evaluation conducted on standard audio-only singing voice separation benchmarks","Parekh, S., Essid, S., & Richard, G. (2021). Audiovisual singing voice separation. Transactions of the International Society for Music Information Retrieval, 4(1), 246–259. https://doi.org/10.5334/tismir.86",Marian
"Faghih, B., Chakraborty, S., Yaseen, A., & Timoney, J.",2022,A New Method for Detecting Onset and Offset for Singing in Real-Time and Offline Environments,"The researchers proposed a rule-based and signal-processing-driven method for detecting note onsets, offsets, and transitions in solo singing performances. The approach analyzes fundamental frequency (F0) contours and pitch trajectory slopes to identify temporal boundaries between notes, explicitly accounting for singing-specific characteristics such as legato transitions, soft onsets, and vibrato. Statistical decision rules are applied to distinguish true note boundaries from expressive pitch fluctuations. The system is designed to operate in both real-time and offline settings and is evaluated against multiple state-of-the-art onset detection algorithms.","Annotated-VocalSet (derived from VocalSet): professionally recorded solo singing data

Includes multiple voice types and singing techniques

Supplementary evaluation conducted on additional solo singing recordings to test real-time performance and robustness","Faghih, B., Chakraborty, S., Yaseen, A., & Timoney, J. (2022). A new method for detecting onset and offset for singing in real-time and offline environments. Applied Sciences, 12(9), 4487. https://doi.org/10.3390/app12094487",Marian
"He, Z., & Feng, Y.",2021,Singing transcription from polyphonic music using melody contour filtering,"The researchers proposed a signal-processing-based singing transcription system that extracts the predominant vocal melody from polyphonic music and converts it into note-level transcriptions. The approach constructs a salience spectrogram to emphasize vocal pitch candidates, applies edge-searching techniques to track continuous melody contours, and uses contour filtering with sliding-window breakpoint detection to remove unstable or spurious segments. Stable pitch lines are then segmented into notes by detecting onset and offset boundaries, yielding pitch and duration estimates for singing transcription. The method emphasizes interpretability and robustness to accompaniment interference without relying on deep learning.","MIR-1K: Karaoke-style polyphonic music with isolated vocal references

iKala: Professionally recorded singing excerpts with accompaniment

ADC2004 and MIREX melody extraction datasets for benchmarking

Evaluation conducted using standard MIREX melody and transcription metrics","He, Z., & Feng, Y. (2021). Singing transcription from polyphonic music using melody contour filtering. Applied Sciences, 11(9), 4051. https://doi.org/10.3390/app11094051",Marian
"Wager, S., Tzanetakis, G., Wang, C.-i., & Kim, M.",2020,Deep Autotuner: A Pitch Correcting Network for Singing Performances,"The researchers proposed a data-driven, score-free pitch correction system that predicts note-level pitch shifts for solo singing based on harmonic alignment with the accompaniment. The method operates on constant-Q transform (CQT) representations of both the vocal and backing tracks and uses a deep neural network composed of convolutional layers followed by a gated recurrent unit (GRU) to model note-level temporal context. Instead of snapping pitches to discrete scale degrees, the model estimates continuous pitch shifts that correct unintended intonation errors while preserving expressive variations such as vibrato and pitch bending. Training data are generated by synthetically detuning in-tune performances, allowing the network to learn to distinguish intentional expression from pitch inaccuracies. The system is evaluated using both objective pitch error metrics and subjective listening tests.","Intonation dataset (derived from Smule recordings)

4,702 solo karaoke-style singing performances selected for good intonation

Western popular music repertoire with aligned accompaniment tracks

Split into training (4,561), validation (49), and test (64) performances

Additional real-world test set with 24 newly recorded singing performances for subjective evaluation","Wager, S., Tzanetakis, G., Wang, C.-i., & Kim, M. (2020). Deep autotuner: A pitch correcting network for singing performances. In Proceedings of the IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP) (pp. 246–250). IEEE. https://doi.org/10.1109/ICASSP40776.2020.9053208",Marian
"Parker, J. D., Spijkervet, J., Kosta, K., Yesiler, F., Kuznetsov, B., Wang, J., Avent, M., Chen, J., & Le, D.",2024,Generative Audio / Stem Generation,"- ""Listening"" Model: Uses a non-autoregressive Transformer that conditions on musical context (e.g., drums) to generate coherent stems (e.g., bass).

- Contextual Coherence: Optimizes for spectral and rhythmic alignment with the input mix rather than just audio quality.",- Proprietary & Open Source: Trained on a combination of internal datasets and open multi-track data to learn stem relationships.,"Parker, J. D., Spijkervet, J., Kosta, K., Yesiler, F., Kuznetsov, B., Wang, J., Avent, M., Chen, J., & Le, D. (2024). StemGen: A music generation model that listens. In 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP) (pp. 1116-1120). IEEE.",Kean
"Weck, B., Manco, I., Benetos, E., Quinton, E., Fazekas, G., & Bogdanov, D.",2024,Music Understanding / Evaluation,"- Benchmark Creation: Developed MuChoMusic, a benchmark to test if multimodal ""Audio LLMs"" genuinely understand music or rely on text priors.

- Evaluation: Tested 5 open-source models on 1,187 validated questions, revealing a significant ""text bias"" where models ignore audio cues.","- MuChoMusic: 1,187 manually validated multiple-choice questions based on tracks from MTG-Jamendo and other open corpora.","Weck, B., Manco, I., Benetos, E., Quinton, E., Fazekas, G., & Bogdanov, D. (2024). MuChoMusic: Evaluating music understanding in multimodal audio-language models. In Proceedings of the 25th International Society for Music Information Retrieval Conference (ISMIR) (pp. 825-833).",Kean
"Steinmetz, C. J., Singh, S., Comunità, M., Ibnyahya, I., Yuan, S., Benetos, E., & Reiss, J. D",2024,Differentiable Audio Effects / Style Transfer,"- Inference-Time Optimization (ITO): Optimizes the parameters of a differentiable DSP chain (EQ, Compressor) to match a reference style at inference time.

- White-Box AI: Produces interpretable plugin parameters rather than a black-box audio output.","- Multiple: MTG-Jamendo, ENST-Drums, FSD50k, and GuitarSet used to train the style-matching encoder.","Steinmetz, C. J., Singh, S., Comunità, M., Ibnyahya, I., Yuan, S., Benetos, E., & Reiss, J. D. (2024). ST-ITO: Controlling audio effects for style transfer with inference-time optimization. In Proceedings of the 25th International Society for Music Information Retrieval Conference (ISMIR) (pp. 661-668).",Kean
"Wen, Y., Kim, M., & Smaragdis, P.",2025,Interactive Source Separation,"- User-Guided Diffusion: Integrates user inputs (humming, text descriptions) into a diffusion model to guide the separation of specific sources.

- Guided Priors: Uses a diffusion model conditioned on the user's ""query"" to isolate targets not defined in standard stems.",- MoisesDB & HumTrans: Used to train the model on complex mixtures and align humming prompts with stems.,"Wen, Y., Kim, M., & Smaragdis, P. (2025). User-guided generative source separation. In Proceedings of the 26th International Society for Music Information Retrieval Conference (ISMIR) (pp. 821-829).",Kean
